Year,Deaths,PopFactor,Era,DeathRate,RollingAvg
1900,101,45.0,Pre-Radar,2.2444444444444445,
1901,52,45.8,Pre-Radar,1.1353711790393013,
1902,157,46.6,Pre-Radar,3.369098712446352,
1903,216,47.4,Pre-Radar,4.556962025316456,
1904,87,48.2,Pre-Radar,1.804979253112033,
1905,184,49.0,Pre-Radar,3.7551020408163267,3.687222705667486
1906,70,49.8,Pre-Radar,1.4056224899598395,3.4854197706570034
1907,80,50.6,Pre-Radar,1.5810276679841897,3.4741131360244486
1908,477,51.4,Pre-Radar,9.280155642023347,3.457716085292634
1909,404,52.2,Pre-Radar,7.739463601532567,3.6265686192230824
1910,12,53.0,Pre-Radar,0.22641509433962265,3.5190244305666836
1911,55,53.8,Pre-Radar,1.0223048327137547,3.290882647537682
1912,175,54.6,Pre-Radar,3.205128205128205,3.4098359694759544
1913,346,55.4,Pre-Radar,6.245487364620939,4.192006240220198
1914,41,56.2,Pre-Radar,0.7295373665480427,3.4929469049740915
1915,84,57.0,Pre-Radar,1.4736842105263157,3.0611932358507357
1916,150,57.8,Pre-Radar,2.595155709342561,3.856584513302019
1917,551,58.6,Pre-Radar,9.402730375426621,4.081214871454592
1918,136,59.4,Pre-Radar,2.28956228956229,3.9763570030184483
1919,206,60.2,Pre-Radar,3.4219269102990033,3.525309843843421
1920,499,61.0,Pre-Radar,8.180327868852459,4.038025889120081
1921,202,61.8,Pre-Radar,3.2686084142394822,5.112195929605911
1922,135,62.6,Pre-Radar,2.1565495207667733,5.071525343474087
1923,110,63.4,Pre-Radar,1.7350157728706626,4.9420631167422355
1924,376,64.2,Pre-Radar,5.8566978193146415,4.854056442682149
1925,794,65.0,Pre-Radar,12.215384615384615,4.913623282444037
1926,144,65.8,Pre-Radar,2.1884498480243164,4.355010785413864
1927,540,66.6,Pre-Radar,8.108108108108109,4.079725875222008
1928,95,67.4,Pre-Radar,1.4094955489614243,4.422144577536264
1929,274,68.2,Pre-Radar,4.0175953079178885,4.755645801369647
1930,179,69.0,Pre-Radar,2.5942028985507246,4.235072972346769
1931,36,69.8,Pre-Radar,0.5157593123209169,3.1107947847809108
1932,394,70.6,Pre-Radar,5.580736543909349,3.639917279653276
1933,362,71.4,Pre-Radar,5.0700280112044815,2.867980463480535
1934,47,72.2,Pre-Radar,0.6509695290858726,2.9697364788761695
1935,71,73.0,Pre-Radar,0.9726027397260274,2.6873995202628587
1936,552,73.8,Pre-Radar,7.479674796747968,2.5123948148233706
1937,29,74.6,Pre-Radar,0.3887399463806971,2.528942276907474
1938,183,75.4,Pre-Radar,2.4270557029177717,2.45941824083715
1939,91,76.2,Pre-Radar,1.194225721784777,2.0254632986587673
1940,65,77.0,Pre-Radar,0.8441558441558441,2.3032591138299807
1941,53,77.8,Pre-Radar,0.6812339331619538,2.465258099116637
1942,384,78.6,Pre-Radar,4.885496183206107,1.8126451426692243
1943,58,79.4,Pre-Radar,0.7304785894206549,2.152705772728491
1944,275,80.2,Pre-Radar,3.428927680798005,2.0766668691033803
1945,210,81.0,Pre-Radar,2.5925925925925926,2.2078381211529314
1946,78,81.8,Pre-Radar,0.9535452322738387,2.2057754779138175
1947,313,82.6,Pre-Radar,3.789346246973366,2.1768290393301326
1948,139,83.4,Pre-Radar,1.6666666666666665,1.9479568403643603
1949,211,84.2,Pre-Radar,2.505938242280285,2.4492963332009507
1950,70,85.0,Pre-Radar,0.8235294117647058,2.145473332563011
1951,34,86.78571428571429,Warning Era,0.39176954732510283,2.023552476345577
1952,230,88.57142857142857,Warning Era,2.596774193548387,2.014914371028641
1953,519,90.35714285714286,Warning Era,5.743873517786561,1.833928464280022
1954,36,92.14285714285714,Warning Era,0.39069767441860465,1.7347438120018448
1955,129,93.92857142857144,Warning Era,1.3733840304182507,1.5415351467844167
1956,83,95.71428571428572,Warning Era,0.8671641791044775,1.5039044278301685
1957,193,97.5,Warning Era,1.9794871794871796,1.5144203058621633
1958,67,99.28571428571428,Warning Era,0.6748201438848921,1.2829308059704119
1959,58,101.07142857142856,Warning Era,0.5738515901060072,0.7371903188782244
1960,46,102.85714285714286,Warning Era,0.4472222222222222,0.7644841878000003
1961,52,104.64285714285714,Warning Era,0.49692832764505124,0.8964109604770251
1962,30,106.42857142857144,Warning Era,0.28187919463087246,0.895983850742678
1963,31,108.21428571428572,Warning Era,0.2864686468646864,0.7968586622057247
1964,73,110.0,Warning Era,0.6636363636363637,0.8412059161099185
1965,301,111.78571428571428,Warning Era,2.6926517571884987,0.8393162525948131
1966,98,113.57142857142856,Warning Era,0.8628930817610064,0.855067403153656
1967,114,115.35714285714286,Warning Era,0.988235294117647,0.935170488756498
1968,131,117.14285714285714,Warning Era,1.1182926829268294,0.928706707224445
1969,66,118.92857142857144,Warning Era,0.5549549549549548,0.9706547433878349
1970,73,120.71428571428572,Warning Era,0.6047337278106508,1.1905480902644219
1971,159,122.5,Warning Era,1.2979591836734694,0.9675639062811093
1972,27,124.28571428571428,Warning Era,0.21724137931034485,0.9147528589745738
1973,89,126.07142857142858,Warning Era,0.7059490084985836,0.8482081499381442
1974,366,127.85714285714286,Warning Era,2.8625698324022344,0.7756381409047205
1975,60,129.64285714285714,Warning Era,0.4628099173553719,0.7815525670802433
1976,44,131.42857142857144,Warning Era,0.33478260869565213,0.7412853798661886
1977,43,133.21428571428572,Warning Era,0.3227882037533512,0.628588698140063
1978,53,135.0,Warning Era,0.3925925925925926,0.6518896858371692
1979,84,136.78571428571428,Warning Era,0.6140992167101827,0.6049176137714299
1980,28,138.57142857142858,Warning Era,0.20206185567010307,0.40238612072728497
1981,24,140.35714285714286,Warning Era,0.17099236641221374,0.41983394255106976
1982,64,142.14285714285714,Warning Era,0.45025125628140705,0.3964035285714568
1983,34,143.92857142857144,Warning Era,0.23622828784119104,0.40317908171858025
1984,122,145.71428571428572,Warning Era,0.8372549019607842,0.38485440189857334
1985,94,147.5,Warning Era,0.6372881355932203,0.35577704373794766
1986,15,149.28571428571428,Warning Era,0.10047846889952154,0.36945213670975013
1987,59,151.07142857142856,Warning Era,0.39054373522458635,0.37700301293534594
1988,32,152.85714285714286,Warning Era,0.20934579439252335,0.3563528873072052
1989,50,154.64285714285717,Warning Era,0.32332563510392603,0.35312740951646365
1990,53,156.42857142857144,Warning Era,0.3388127853881278,0.3115853254339223
1991,39,158.21428571428572,Modern Era,0.24650112866817153,0.26599906047071264
1992,39,160.0,Modern Era,0.24375,0.2709084785380254
1993,33,161.78571428571428,Modern Era,0.20397350993377483,0.27151583863078876
1994,69,163.57142857142856,Modern Era,0.4218340611353712,0.32673188680659915
1995,30,165.35714285714286,Modern Era,0.1814254859611231,0.34889207691939494
1996,25,167.14285714285717,Modern Era,0.14957264957264954,0.3385353885445166
1997,67,168.92857142857144,Modern Era,0.39661733615221983,0.3366033284160362
1998,130,170.71428571428572,Modern Era,0.7615062761506276,0.34315202319515264
1999,94,172.5,Modern Era,0.5449275362318841,0.35281431434889243
2000,41,174.28571428571428,Modern Era,0.23524590163934428,0.3299222468180325
2001,40,176.07142857142856,Modern Era,0.22718052738336716,0.3330662479295225
2002,55,177.85714285714286,Modern Era,0.3092369477911647,0.35432519918847377
2003,54,179.64285714285717,Modern Era,0.30059642147117294,0.3580286663380702
2004,35,181.42857142857144,Modern Era,0.19291338582677164,0.3486962205411892
2005,39,183.2142857142857,Modern Era,0.21286549707602342,0.30523536185233474
2006,67,185.0,Modern Era,0.3621621621621622,0.3051308460378427
2007,81,186.78571428571428,Modern Era,0.43365200764818357,0.5675693310527288
2008,126,188.57142857142856,Modern Era,0.6681818181818182,0.5724120596312765
2009,21,190.3571428571429,Modern Era,0.11031894934333956,0.5702005187499821
2010,45,192.1428571428572,Modern Era,0.23420074349442374,0.5744934095579859
2011,553,193.92857142857144,Modern Era,2.851565377532228,0.5711109451079325
2012,70,195.7142857142857,Modern Era,0.3576642335766424,0.5437679683283358
2013,55,197.5,Modern Era,0.27848101265822783,0.5175057344047043
2014,47,199.28571428571428,Modern Era,0.23584229390681005,0.4555318432439619
2015,36,201.07142857142856,Modern Era,0.17904085257548846,0.46419120045371026
2016,18,202.8571428571429,Modern Era,0.08873239436619716,0.47696160229474416
2017,35,204.6428571428572,Modern Era,0.1710296684118673,0.24085268358914033
